policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
blend_decomp_direct_hgb_0.9,0.015,2006,0.7863582908663269,3774536.915029561,1881.623586754517,0.07926221335992024,0.9549196393571149
blend_decomp_direct_hgb_0.7,0.018996887091860808,1958,0.7675421403371226,3774383.0548301553,1927.672653130825,0.0755873340143003,0.955703645629165
decomp_plus_profit_support_0.06,0.024999999999999994,1980,0.7761662093296746,3772847.10297113,1905.478334833904,0.07727272727272727,0.9862798902391219
decomp_plus_profit_support_0.06,0.02517350332647858,1980,0.7761662093296746,3772847.10297113,1905.478334833904,0.07727272727272727,0.9862798902391219
blend_decomp_direct_hgb_0.8,-0.0050000000000000044,2117,0.8298706389651117,3771778.9077332197,1781.6622143283985,0.08880491261218705,0.9506076048608388
decomp_plus_profit_support_0.10,0.04000000000000001,1947,0.7632301058408467,3771694.9543492207,1937.1828219564566,0.07447354904982023,0.973343786750294
blend_decomp_direct_hgb_0.5,-0.0073275071094370346,2109,0.826734613876911,3771644.000895099,1788.3565675178277,0.08724513987671882,0.9607996863974911
blend_decomp_direct_hgb_0.6,0.015,1982,0.7769502156017248,3771613.345300289,1902.9330702826887,0.07669021190716448,0.9658957271658173
blend_decomp_direct_hgb_0.1,0.008436339478676497,1992,0.7808702469619757,3771217.162985828,1893.1813067197932,0.0783132530120482,0.9901999215993728
decomp_plus_profit_support_0.12,0.04802652355201113,1937,0.7593100744805958,3770780.972808855,1946.7119116204724,0.0738255033557047,0.9694237553900431
decomp_plus_profit_support_0.10,0.03939048505400646,1952,0.7651901215209722,3769783.8427587603,1931.2417227247747,0.07530737704918032,0.9753038024304195
direct_margin_hgb_squared,0.013898473360261574,2014,0.7894943159545277,3769661.8918401683,1871.728844012,0.07944389275074479,0.9517836142689141
blend_decomp_direct_hgb_0.6,0.013898473360261574,1989,0.7796942375539004,3769388.7509474307,1895.1175218438566,0.07692307692307693,0.9670717365738926
blend_decomp_direct_hgb_0.9,0.0,2083,0.8165425323402588,3769166.686980708,1809.4895280752319,0.08689390302448392,0.9513916111328891
blend_decomp_direct_hgb_0.5,0.009999999999999995,2011,0.7883183065464524,3768634.1524191294,1874.0100210935502,0.07906514172053705,0.9725597804782439
blend_decomp_direct_hgb_0.3,0.015,1961,0.7687181497451979,3768033.208768555,1921.4855730589265,0.07547169811320754,0.973343786750294
blend_decomp_direct_hgb_0.3,0.0,2062,0.8083104664837318,3767909.399308872,1827.3081470945062,0.08341416100872939,0.9768718149745198
blend_decomp_direct_hgb_0.9,-0.0050000000000000044,2116,0.8294786358290867,3767602.69696239,1780.5305751240028,0.0888468809073724,0.9455115640925127
decomp_plus_profit_support_0.08,0.024999999999999994,2019,0.7914543316346531,3766881.119380304,1865.7162552651332,0.08023774145616643,0.9929439435515484
blend_decomp_direct_hgb_0.4,0.01999999999999999,1914,0.7502940023520188,3766844.891104713,1968.0485324476035,0.07210031347962383,0.9564876519012152
blend_decomp_direct_hgb_0.3,0.008436339478676497,2012,0.7887103096824775,3766829.5276975045,1872.1816738059167,0.07952286282306163,0.982359858878871
decomp_plus_profit_support_0.06,0.01999999999999999,2019,0.7914543316346531,3766318.6005704645,1865.4376426797744,0.08023774145616643,0.9937279498235986
direct_margin_ridge,-0.05,2214,0.8678949431595453,3766277.9998863805,1701.1192411410932,0.0980126467931346,0.9141513132105057
blend_decomp_direct_hgb_0.1,0.0011379084642246886,2050,0.8036064288514309,3764924.4984295024,1836.5485358192695,0.0824390243902439,0.9862798902391219
direct_margin_hgb_squared,0.01999999999999999,1969,0.7718541748333987,3764366.752023398,1911.8165322617563,0.07719654647028949,0.9443355546844375
decomp_plus_profit_support_0.08,0.02517350332647858,2018,0.791062328498628,3764353.57229299,1865.3882915227898,0.0802775024777007,0.9925519404155233
blend_decomp_direct_hgb_0.8,0.01999999999999999,1953,0.7655821246569973,3764207.0682915403,1927.3973723971021,0.07526881720430108,0.9521756174049393
direct_margin_hgb_squared,0.015,2001,0.7843982751862015,3764118.9840879324,1881.1189325776775,0.07896051974012994,0.9490395923167385
decomp_plus_profit_support_0.08,0.035,1944,0.7620540964327714,3764081.808134546,1936.256074143285,0.07458847736625514,0.9721677773422187
blend_decomp_direct_hgb_0.7,0.0,2077,0.8141905135241082,3763680.3401474194,1812.075272097939,0.08521906596051998,0.960015680125441
decomp_plus_profit_support_0.08,0.03469130876082671,1947,0.7632301058408467,3763570.680950987,1933.0101083466807,0.07498715973292244,0.973343786750294
blend_decomp_direct_hgb_0.6,0.02517350332647858,1879,0.7365738925911407,3763180.4814944137,2002.7570417745683,0.0707823310271421,0.9404155233241865
blend_decomp_direct_hgb_0.5,0.013898473360261574,1984,0.777734221873775,3762779.0463214857,1896.562019315265,0.07711693548387097,0.9698157585260682
blend_decomp_direct_hgb_0.7,0.013898473360261574,2000,0.7840062720501764,3762617.5901063518,1881.3087950531758,0.079,0.9627597020776166
direct_margin_hgb_squared,0.035,1819,0.7130537044296354,3762511.3147951053,2068.4504204481063,0.06487080813633865,0.9090552724421795
blend_decomp_direct_hgb_0.8,0.0,2081,0.8157585260682085,3762258.1854582676,1807.908786861253,0.08601633829889477,0.9560956487651902
decomp_plus_profit_support_0.12,0.03469130876082671,2019,0.7914543316346531,3761699.721682438,1863.1499364449917,0.08023774145616643,0.9890239121912975
blend_decomp_direct_hgb_0.4,-0.0073275071094370346,2110,0.8271266170129361,3761663.122819174,1782.7787311939214,0.08720379146919431,0.9611916895335163
blend_decomp_direct_hgb_0.1,0.013898473360261574,1948,0.7636221089768718,3761146.0480033066,1930.773125258371,0.07494866529774127,0.973735789886319
blend_decomp_direct_hgb_0.3,0.013898473360261574,1966,0.7706781654253234,3761050.991024546,1913.0472996055676,0.0757884028484232,0.973735789886319
blend_decomp_direct_hgb_0.7,0.015,1994,0.7816542532340258,3760942.071135595,1886.1294238393155,0.07823470411233702,0.9619756958055664
blend_decomp_direct_hgb_0.2,-0.010000000000000009,2113,0.8283026264210114,3759953.1221764283,1779.438297291258,0.08755324183625178,0.9615836926695414
blend_decomp_direct_hgb_0.9,0.018996887091860808,1971,0.7726381811054488,3759651.9399351412,1907.484495147205,0.07661085743277524,0.9498235985887887
blend_decomp_direct_hgb_0.7,-0.0073275071094370346,2124,0.8326146609172873,3758382.38320906,1769.4832312660358,0.08945386064030132,0.9517836142689141
decomp_plus_profit_support_0.06,0.029675801359672106,1945,0.7624460995687965,3758089.530036648,1932.179706959716,0.07506426735218509,0.9725597804782439
blend_decomp_direct_hgb_0.2,0.0049999999999999906,2027,0.7945903567228538,3757746.2551826593,1853.8462038394964,0.08140108534780464,0.986671893375147
decomp_plus_profit_support_0.04,0.015,2015,0.7898863190905527,3756971.0095460317,1864.5017417101894,0.0803970223325062,0.9960799686397491
decomp_plus_profit_support_0.08,0.013898473360261574,2082,0.8161505292042336,3756516.741020592,1804.282776666951,0.0845341018251681,0.973735789886319
decomp_plus_profit_support_0.12,0.035,2017,0.790670325362603,3756339.6447076704,1862.3399329239815,0.08031730292513634,0.9898079184633477
blend_decomp_direct_hgb_0.4,0.009999999999999995,2008,0.7871422971383771,3754808.1191651234,1869.9243621340256,0.0796812749003984,0.9768718149745198
direct_margin_hgb_squared,-0.0050000000000000044,2121,0.831438651509212,3754589.7270550076,1770.1978911150436,0.08958038661008957,0.9404155233241865
